Odkaz,Zápas,Domácí,Hosté,SkóreFT,SkóreHT,Diváků
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0805_Zapis.html,A1A0805,Baník Ostrava,Slovácko,0:1,0:0,4357
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0806_Zapis.html,A1A0806,Mladá Boleslav,Hradec Králové,1:1,0:0,3158
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0807_Zapis.html,A1A0807,Sigma Olomouc,Teplice,1:0,0:0,4660
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0808_Zapis.html,A1A0808,Sparta Praha,Slavia Praha,3:0,2:0,18299
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0901_Zapis.html,A1A0901,Slovácko,Jablonec,1:0,0:0,4458
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0902_Zapis.html,A1A0902,Viktoria Plzeň,Baník Ostrava,1:1,1:1,6085
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0903_Zapis.html,A1A0903,Hradec Králové,České Budějovice,0:0,0:0,4650
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0904_Zapis.html,A1A0904,Slavia Praha,Sigma Olomouc,1:0,1:0,5287
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0905_Zapis.html,A1A0905,Viktoria Žižkov,Bohemians 1905,0:1,0:0,4380
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0906_Zapis.html,A1A0906,Slovan Liberec,Dukla Praha,1:2,1:0,5320
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0907_Zapis.html,A1A0907,Příbram,Sparta Praha,0:3,0:2,6621
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A0908_Zapis.html,A1A0908,Teplice,Mladá Boleslav,1:3,1:1,3890
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1001_Zapis.html,A1A1001,Bohemians 1905,Dukla Praha,0:0,0:0,3101
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1002_Zapis.html,A1A1002,Jablonec,Příbram,5:1,3:0,3150
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1003_Zapis.html,A1A1003,České Budějovice,Teplice,1:1,0:1,2371
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1004_Zapis.html,A1A1004,Baník Ostrava,Hradec Králové,1:0,0:0,4484
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1005_Zapis.html,A1A1005,Slovácko,Viktoria Plzeň,1:3,1:2,5895
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1006_Zapis.html,A1A1006,Viktoria Žižkov,Slavia Praha,1:0,1:0,5200
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1007_Zapis.html,A1A1007,Sigma Olomouc,Mladá Boleslav,1:1,1:1,4727
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1008_Zapis.html,A1A1008,Sparta Praha,Slovan Liberec,0:3,0:2,12305
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1101_Zapis.html,A1A1101,Dukla Praha,Jablonec,1:3,1:0,1156
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1102_Zapis.html,A1A1102,Viktoria Plzeň,Viktoria Žižkov,4:1,0:0,5736
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1103_Zapis.html,A1A1103,Hradec Králové,Slovácko,0:1,0:1,3506
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1104_Zapis.html,A1A1104,Slavia Praha,České Budějovice,2:0,0:0,5682
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1105_Zapis.html,A1A1105,Slovan Liberec,Baník Ostrava,3:2,2:1,3812
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1106_Zapis.html,A1A1106,Příbram,Sigma Olomouc,4:1,1:0,2186
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1107_Zapis.html,A1A1107,Teplice,Sparta Praha,0:1,0:1,5950
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1108_Zapis.html,A1A1108,Mladá Boleslav,Bohemians 1905,2:0,1:0,3164
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1201_Zapis.html,A1A1201,Bohemians 1905,Sigma Olomouc,1:1,1:1,1864
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1202_Zapis.html,A1A1202,Jablonec,Teplice,0:1,0:0,3130
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1203_Zapis.html,A1A1203,České Budějovice,Příbram,4:1,3:0,2312
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1204_Zapis.html,A1A1204,Baník Ostrava,Dukla Praha,1:2,1:1,3582
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1205_Zapis.html,A1A1205,Slovácko,Slavia Praha,1:3,0:3,5568
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1206_Zapis.html,A1A1206,Viktoria Plzeň,Hradec Králové,5:0,1:0,5811
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1207_Zapis.html,A1A1207,Viktoria Žižkov,Slovan Liberec,1:4,0:2,2367
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1208_Zapis.html,A1A1208,Sparta Praha,Mladá Boleslav,0:3,0:1,7307
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1301_Zapis.html,A1A1301,Hradec Králové,Jablonec,0:0,0:0,2758
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1302_Zapis.html,A1A1302,Slavia Praha,Viktoria Plzeň,2:1,2:1,8545
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1303_Zapis.html,A1A1303,Viktoria Žižkov,Baník Ostrava,0:3,0:0,2485
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1304_Zapis.html,A1A1304,Slovan Liberec,České Budějovice,4:0,3:0,3988
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1305_Zapis.html,A1A1305,Příbram,Bohemians 1905,3:0,1:0,3326
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1306_Zapis.html,A1A1306,Teplice,Slovácko,2:1,1:0,3012
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1307_Zapis.html,A1A1307,Mladá Boleslav,Dukla Praha,3:1,1:1,4047
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1308_Zapis.html,A1A1308,Sigma Olomouc,Sparta Praha,0:1,0:1,8094
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1401_Zapis.html,A1A1401,Bohemians 1905,Sparta Praha,0:4,0:1,4382
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1402_Zapis.html,A1A1402,Dukla Praha,Teplice,0:0,0:0,1432
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1403_Zapis.html,A1A1403,Jablonec,Sigma Olomouc,2:0,0:0,1950
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1404_Zapis.html,A1A1404,České Budějovice,Viktoria Žižkov,1:0,0:0,2319
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1405_Zapis.html,A1A1405,Baník Ostrava,Příbram,0:2,0:0,3074
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1406_Zapis.html,A1A1406,Slovácko,Slovan Liberec,1:2,1:1,4529
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1407_Zapis.html,A1A1407,Viktoria Plzeň,Mladá Boleslav,3:2,3:1,5835
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1408_Zapis.html,A1A1408,Hradec Králové,Slavia Praha,1:1,0:1,6543
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1501_Zapis.html,A1A1501,Slavia Praha,Baník Ostrava,0:0,0:0,3975
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1502_Zapis.html,A1A1502,Viktoria Žižkov,Slovácko,0:1,0:1,2315
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1503_Zapis.html,A1A1503,Slovan Liberec,Jablonec,2:2,0:1,5926
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1504_Zapis.html,A1A1504,Příbram,Viktoria Plzeň,2:1,1:0,6141
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1505_Zapis.html,A1A1505,Teplice,Bohemians 1905,2:0,1:0,3220
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1506_Zapis.html,A1A1506,Mladá Boleslav,České Budějovice,3:1,2:0,3394
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1507_Zapis.html,A1A1507,Sigma Olomouc,Hradec Králové,0:2,0:0,4029
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1508_Zapis.html,A1A1508,Sparta Praha,Dukla Praha,0:0,0:0,7454
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1601_Zapis.html,A1A1601,Jablonec,Sparta Praha,2:4,2:2,5085
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1602_Zapis.html,A1A1602,České Budějovice,Dukla Praha,3:2,2:0,2343
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1603_Zapis.html,A1A1603,Baník Ostrava,Sigma Olomouc,0:0,0:0,4035
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1604_Zapis.html,A1A1604,Slovácko,Mladá Boleslav,1:0,1:0,4055
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1605_Zapis.html,A1A1605,Viktoria Plzeň,Bohemians 1905,4:1,3:1,6090
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1606_Zapis.html,A1A1606,Hradec Králové,Teplice,3:2,1:1,2890
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1607_Zapis.html,A1A1607,Slavia Praha,Slovan Liberec,1:3,0:2,4851
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1608_Zapis.html,A1A1608,Viktoria Žižkov,Příbram,1:2,0:0,1948
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1701_Zapis.html,A1A1701,Bohemians 1905,Jablonec,1:2,0:1,2199
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1702_Zapis.html,A1A1702,Dukla Praha,Viktoria Žižkov,3:0,3:0,1254
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1703_Zapis.html,A1A1703,Slovan Liberec,Hradec Králové,3:1,1:0,3897
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1704_Zapis.html,A1A1704,Příbram,Slavia Praha,0:0,0:0,3336
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1705_Zapis.html,A1A1705,Teplice,Viktoria Plzeň,3:4,1:1,3350
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1706_Zapis.html,A1A1706,Mladá Boleslav,Baník Ostrava,2:1,2:0,3850
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A1707_Zapis.html,A1A1707,Sigma Olomouc,České Budějovice,0:0,0:0,5677
